epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85826,0,31.7866,0,0,0,0,0,0,6.26445,0,0,0,0
2,5.39849,0,31.673,0,0,0,0,0,0,6.26703,0,1.40071e-05,1.40071e-05,1.40071e-05
3,9.36756,0,31.7028,0,0,0,0,0,0,6.27046,0,2.74482e-05,2.74482e-05,2.74482e-05
4,11.6031,0,31.5804,0,0,0,0,0,0,6.27441,0,4.03235e-05,4.03235e-05,4.03235e-05
5,14.2606,0,31.4766,0,0,0,0,0,0,6.27823,0,5.26329e-05,5.26329e-05,5.26329e-05
6,16.7773,0,31.3812,0,0,0,0,0,0,6.2819,0,6.43764e-05,6.43764e-05,6.43764e-05
7,19.1545,0,31.1821,0,0,0,0,0,0,6.28612,0,7.55541e-05,7.55541e-05,7.55541e-05
8,21.5569,0,30.9818,0,0,0,0,0,0,6.28959,0,8.61658e-05,8.61658e-05,8.61658e-05
9,23.8903,0,30.9137,0,0,0,0,0,0,6.29188,0,9.62117e-05,9.62117e-05,9.62117e-05
10,26.4373,0,30.5985,0,0,0,0,0,0,6.29312,0,0.000105692,0.000105692,0.000105692
11,28.9629,0,30.6441,0,0,0,0,0,0,6.29236,0,0.000114606,0.000114606,0.000114606
12,31.3916,0,30.3916,0,0,0,0,0,0,6.29112,0,0.000122954,0.000122954,0.000122954
13,33.3959,0,30.0865,0,0,0,0,0,0,6.28947,0,0.000130736,0.000130736,0.000130736
14,35.7643,0,29.902,0,0,0,0,0,0,6.28635,0,0.000137953,0.000137953,0.000137953
15,38.0962,0,29.7079,0,0,0,0,0,0,6.2822,0,0.000144603,0.000144603,0.000144603
16,40.471,0,29.4618,0,0,0,0,0,0,6.27755,0,0.000150688,0.000150688,0.000150688
17,43.0176,0,29.255,0,0,0,0,0,0,6.27211,0,0.000156207,0.000156207,0.000156207
18,45.2628,0,28.9088,0,0,0,0,0,0,6.27211,0,0.00016116,0.00016116,0.00016116
19,47.8185,0,28.8936,0,0,0,0,0,0,6.26754,0,0.000165547,0.000165547,0.000165547
20,50.3064,0,28.581,0,0,0,0,0,0,6.26754,0,0.000169368,0.000169368,0.000169368
21,52.7278,0,28.6957,0,0,0,0,0,0,6.26286,0,0.000172623,0.000172623,0.000172623
22,55.0123,0,28.4495,0,0,0,0,0,0,6.26286,0,0.000175313,0.000175313,0.000175313
23,57.3426,0,28.4393,0,0,0,0,0,0,6.26098,0,0.000177436,0.000177436,0.000177436
24,59.592,0,28.1416,0,0,0,0,0,0,6.26098,0,0.000178994,0.000178994,0.000178994
25,61.8282,0,28.2062,0,0,0,0,0,0,6.25856,0,0.000179985,0.000179985,0.000179985
26,64.5021,0,27.7701,0,0,0,0,0,0,6.25856,0,0.000180411,0.000180411,0.000180411
27,66.7811,0,27.8453,0,0,0,0,0,0,6.25405,0,0.000180271,0.000180271,0.000180271
28,69.0951,0,27.4366,0,0,0,0,0,0,6.25405,0,0.000179565,0.000179565,0.000179565
29,71.5208,0,27.891,0,0,0,0,0,0,6.24944,0,0.000178293,0.000178293,0.000178293
30,74.0359,0,27.3631,0,0,0,0,0,0,6.24944,0,0.000176456,0.000176456,0.000176456
31,76.2128,0,27.2972,0,0,0,0,0,0,6.24184,0,0.000174052,0.000174052,0.000174052
32,78.3775,0,27.1392,0,0,0,0,0,0,6.24184,0,0.000171083,0.000171083,0.000171083
33,81.2255,0,26.8957,0,0,0,0,0,0,6.23135,0,0.000167547,0.000167547,0.000167547
34,83.6549,0,26.6965,0,0,0,0,0,0,6.23135,0,0.000163446,0.000163446,0.000163446
35,86.1514,0,27.0864,0,0,0,0,0,0,6.22088,0,0.000158779,0.000158779,0.000158779
36,88.3132,0,26.4418,0,0,0,0,0,0,6.22088,0,0.000153546,0.000153546,0.000153546
37,90.7749,0,26.6506,0,0,0,0,0,0,6.20577,0,0.000147747,0.000147747,0.000147747
38,93.2588,0,26.1873,0,0,0,0,0,0,6.20577,0,0.000141382,0.000141382,0.000141382
39,95.5858,0,26.3536,0,0,0,0,0,0,6.18681,0,0.000134452,0.000134452,0.000134452
40,97.5147,0,25.9626,0,0,0,0,0,0,6.18681,0,0.000126955,0.000126955,0.000126955
41,99.9034,0,26.1113,0,0,0,0,0,0,6.16474,0,0.000118893,0.000118893,0.000118893
42,102.27,0,25.9023,0,0,0,0,0,0,6.16474,0,0.000110264,0.000110264,0.000110264
43,104.742,0,25.9087,0,0,0,0,0,0,6.14349,0,0.00010107,0.00010107,0.00010107
44,107.228,0,25.6598,0,0,0,0,0,0,6.14349,0,9.13102e-05,9.13102e-05,9.13102e-05
45,109.496,0,25.6426,0,0,0,0,0,0,6.12334,0,8.09843e-05,8.09843e-05,8.09843e-05
46,111.871,0,25.5105,0,0,0,0,0,0,6.12334,0,7.00924e-05,7.00924e-05,7.00924e-05
47,116.651,0,25.6631,0,0,0,0,0,0,6.10474,0,5.86347e-05,5.86347e-05,5.86347e-05
48,119.281,0,25.4971,0,0,0,0,0,0,6.10474,0,4.66111e-05,4.66111e-05,4.66111e-05
49,121.475,0,25.565,0,0,0,0,0,0,6.09087,0,3.40216e-05,3.40216e-05,3.40216e-05
50,123.709,0,25.4731,0,0,0,0,0,0,6.09087,0,2.08663e-05,2.08663e-05,2.08663e-05
